time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,gimbal_heading(degrees),gimbal_pitch(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
1000,2021-03-21 09:47:11,40.1849995159185,33.3282414691177,0,,,3451.5790468022,0.328084,0,0.56726707852,11,4,16.113,3451.5790468022,0,0,0.56726707852,0,0,0,255.1, -0.9, 0.3,0,0,1024,1024,1024,1024,255,0,76,4.044,4.044,4.042,4.044,0,0,1.436,73.31,3451.5790468022,0,41,Motors_Started,
1100,2021-03-21 09:47:11,40.1849994769071,33.3282413980744,0,,,3451.5790468022,0.328084,0,0.58872705296,11,4,16.113,3451.5790468022,0,0,0.58872705296,0,0,0,255.1, -0.9, 0.3,0,0,1024,1024,1024,1024,254.9,0,76,4.044,4.044,4.042,4.044,0,0,1.436,73.31,3451.5790468022,0,41,Motors_Started,
1200,2021-03-21 09:47:11,40.1849994330511,33.3282414008097,0,,,3451.5790468022,0.328084,0,0.6027559248,11,4,16.113,3451.5790468022,0,0,0.6027559248,0,0,0,255.1, -0.9, 0.3,0,0,1024,1024,1024,1024,254.9,0,76,4.044,4.044,4.042,4.044,0,0,1.436,73.31,3451.5790468022,0,41,Motors_Started,
1300,2021-03-21 09:47:11,40.1849994000303,33.3282414114397,0,,,3451.5790468022,0.328084,0,0.61237206684,11,4,16.113,3451.5790468022,0,0,0.61237206684,0,0,0,255.1, -0.9, 0.3,0,0,1024,1024,1024,1024,254.9,0,76,4.044,4.044,4.042,4.044,0,0,1.436,73.31,3451.5790468022,0,41,Motors_Started,
1400,2021-03-21 09:47:11,40.1849993732217,33.3282414331949,0,,,3451.5790468022,0.328084,0,0.61874673896,11,4,16.113,3451.5790468022,0,0,0.61874673896,0,0,0,255.1, -0.9, 0.3,0,0,1024,1024,1024,1024,254.9,0,76,4.044,4.044,4.042,4.044,0,0,1.436,73.31,3451.5790468022,0,41,Motors_Started,
1500,2021-03-21 09:47:11,40.184999535054,33.328241629641,0,,,3451.5790468022,0.328084,0,0.54309713024,11,4,16.113,3451.5790468022,0,0,0.61874673896,0,0,0,255.1, -1, 0.4,0,0,1024,1024,1024,1024,255,0,76,4.044,4.044,4.042,4.044,0,0,1.436,73.31,3451.5790468022,0,11,AutoTakeoff,
1600,2021-03-21 09:47:11,40.1849995029647,33.3282417006753,0,,,3451.5790468022,0.328084,0,0.54724739284,11,4,16.113,3451.5790468022,0,0,0.61874673896,0,0,0,255.1, -0.9, 0.4,0,0,1024,1024,1024,1024,255,0,76,4.044,4.044,4.042,4.044,0,0,1.436,73.31,3451.5790468022,0,11,AutoTakeoff,
1700,2021-03-21 09:47:11,40.184999470842,33.3282417541127,0,,,3451.5790468022,0.328084,0,0.55376314108,13,4,15.969,3451.5790468022,0,0,0.61874673896,0,0,0,255.1, -0.9, 0.4,0,0,1024,1024,1024,1024,255,0,76,4.022,4.025,4.023,4.021,0,0,1.964,73.31,3451.5790468022,0,11,AutoTakeoff,
1800,2021-03-21 09:47:11,40.1849994330649,33.3282417840011,0,,,3451.5790468022,0.328084,0,0.56460303644,13,4,15.969,3451.5790468022,0,0,0.61874673896,0,0,0,255, -0.9, 0.4,0,0,1024,1024,1024,1024,255,0,76,4.022,4.025,4.023,4.021,0,0,1.964,73.31,3451.5790468022,0,11,AutoTakeoff,
1900,2021-03-21 09:47:11,40.1849994643412,33.3282419384983,0,,,3451.5790468022,0.328084,0,0.54314962368,13,4,15.969,3451.5790468022,0,0,0.61874673896,0,0,0,255, -1, 0.4,0,0,1024,1024,1024,1024,255,0,76,4.022,4.025,4.023,4.021,0,0,1.964,73.31,3451.5790468022,0,11,AutoTakeoff,
2000,2021-03-21 09:47:12,40.1849993715663,33.328241940816,0,,,3451.5790468022,0.328084,0,0.57619096332,13,4,15.969,3451.5790468022,0,0,0.61874673896,0,0,0,255.1, -1.2, 0.4,0,0,1024,1024,1024,1024,255,0,76,4.022,4.025,4.023,4.021,0,0,1.964,73.31,3451.5790468022,0,11,AutoTakeoff,
2100,2021-03-21 09:47:12,40.1849992905386,33.3282419580508,0,,,3451.5790468022,0.328084,0,0.60435697472,13,4,15.969,3451.5790468022,0,0,0.61874673896,0,0,0,255.2, -1.4, 0.5,0,0,1024,1024,1024,1024,255,0,76,4.022,4.025,4.023,4.021,0,0,1.964,73.31,3451.5790468022,0,11,AutoTakeoff,
2200,2021-03-21 09:47:12,40.1849992217666,33.3282419916149,0,,,3451.5790468022,0.328084,0,0.62755251352,13,4,15.969,3451.5790468022,0,0,0.62755251352,0,0,0,255.3, -2.3, 0.4,0,0,1024,1024,1024,1024,255,0,76,4.022,4.025,4.023,4.021,0,0,1.964,73.31,3451.5790468022,0,11,AutoTakeoff,
2300,2021-03-21 09:47:12,40.1849990081966,33.328241966258,0,,,3451.5790468022,0.328084,0,0.70564634804,13,4,15.969,3451.5790468022,0,0,0.70564634804,0,0,0,255.5, -3.4, 0.3,0,0,1024,1024,1024,1024,255,0,76,4.022,4.025,4.023,4.021,0,0,1.964,73.31,3451.5790468022,0,11,AutoTakeoff,
2400,2021-03-21 09:47:12,40.1849988914717,33.3282418546015,0,,,3451.5790468022,0.328084,0.223694,0.75276249128,13,4,15.969,3451.5790468022,0,0.223694,0.75276249128,0,-0.223694,-0.447388,255.6, -3, -0.1,0,0,1024,1024,1024,1024,255,0,76,4.022,4.025,4.023,4.021,0,0,1.964,73.31,3451.5790468022,0,11,AutoTakeoff,
2500,2021-03-21 09:47:12,40.1849987534522,33.3282416949045,0,,,3451.5790468022,0.656168,0.223694,0.81104989472,13,4,15.969,3451.5790468022,0,0.223694,0.81104989472,0,-0.223694,-0.894776,255.6, -0.2, -0.5,0,0,1024,1024,1024,1024,255,0,76,4.022,4.025,4.023,4.021,0,0,1.964,73.31,3451.5790468022,0,11,AutoTakeoff,
2600,2021-03-21 09:47:12,40.1849985796084,33.3282415266312,0.328084,,,3451.9071308022,0.656168,0.223694,0.88386813852,13,4,15.969,3451.9071308022,0.328084,0.223694,0.88386813852,0,-0.223694,-1.11847,255.7, 1.2, -0.4,0,0,1024,1024,1024,1024,255,0,76,4.022,4.025,4.023,4.021,0,0,1.964,73.31,3451.9071308022,0.328084,11,AutoTakeoff,
2700,2021-03-21 09:47:12,40.1849984038432,33.3282413624944,0.328084,,,3451.9071308022,0.984252,0.223694,0.95799215664,13,4,15.966,3451.9071308022,0.328084,0.223694,0.95799215664,0,-0.223694,-1.342164,255.7, 1.7, 0.2,0,0,1024,1024,1024,1024,255,0,76,4.018,4.02,4.016,4.013,0,0,3.298,73.31,3451.9071308022,0.328084,11,AutoTakeoff,
2800,2021-03-21 09:47:12,40.184998177557,33.3282410900322,0.656168,,,3452.2352148022,1.312336,0.223694,1.05989504704,13,4,15.966,3452.2352148022,0.656168,0.223694,1.05989504704,0,-0.223694,-1.11847,255.7, 2.3, 0.6,0,0,1024,1024,1024,1024,255,0,76,4.018,4.02,4.016,4.013,0,0,3.298,73.31,3452.2352148022,0.656168,11,AutoTakeoff,
2900,2021-03-21 09:47:12,40.1849980239605,33.3282409353232,0.656168,,,3452.2352148022,1.312336,0.223694,1.12721788384,12,4,15.966,3452.2352148022,0.656168,0.223694,1.12721788384,0,-0.223694,-1.11847,255.7, 2.2, 0.7,0,0,1024,1024,1024,1024,255,0,76,4.018,4.02,4.016,4.013,0,0,3.298,73.31,3452.2352148022,0.656168,11,AutoTakeoff,
3000,2021-03-21 09:47:13,40.1849978822847,33.3282408039195,0.984252,,,3452.5632988022,1.64042,0,1.18852694092,12,4,15.966,3452.5632988022,0.984252,0.223694,1.18852694092,0,0,-1.11847,255.6, 1.8, 0.8,0,0,1024,1024,1024,1024,255,0,76,4.018,4.02,4.016,4.013,0,0,3.298,73.31,3452.5632988022,0.984252,11,AutoTakeoff,
3100,2021-03-21 09:47:13,40.1849977139993,33.3282406863673,0.984252,,,3452.5632988022,1.64042,0,1.25763455468,12,4,15.966,3452.5632988022,0.984252,0.223694,1.25763455468,0,0,-1.11847,255.6, 1.3, 0.9,0,0,1024,1024,1024,1024,255,0,76,4.018,4.02,4.016,4.013,0,0,3.298,73.31,3452.5632988022,0.984252,11,AutoTakeoff,
3200,2021-03-21 09:47:13,40.1849973242727,33.3282402947937,1.312336,,,3452.8913828022,1.968504,0,1.43079400904,12,4,15.966,3452.8913828022,1.312336,0.223694,1.43079400904,0,0,-0.894776,255.6, 0.7, 0.5,0,0,1024,1024,1024,1024,255.1,0,76,4.018,4.02,4.016,4.013,0,0,3.298,73.31,3452.8913828022,1.312336,11,AutoTakeoff,
3300,2021-03-21 09:47:13,40.1849971289799,33.3282402170613,1.312336,,,3452.8913828022,1.968504,0,1.50479991692,13,4,15.966,3452.8913828022,1.312336,0.223694,1.50479991692,0,0,-0.894776,255.7, 0.5, 0,0,0,1024,1024,1024,1024,255.1,0,76,4.018,4.02,4.016,4.013,0,0,3.298,73.31,3452.8913828022,1.312336,11,AutoTakeoff,
3400,2021-03-21 09:47:13,40.184996945164,33.3282402018934,1.64042,,,3453.2194668022,2.296588,0,1.56828417092,13,4,15.966,3453.2194668022,1.64042,0.223694,1.56828417092,0,0,-0.894776,255.8, 0.2, 0,0,0,1024,1024,1024,1024,255.1,0,76,4.018,4.02,4.016,4.013,0,0,3.298,73.31,3453.2194668022,1.64042,11,AutoTakeoff,
3500,2021-03-21 09:47:13,40.1849967564351,33.3282402250726,1.64042,,,3453.2194668022,2.296588,0,1.62983601016,13,4,15.966,3453.2194668022,1.64042,0.223694,1.62983601016,0,0,-0.894776,255.8, 0, -0.2,0,0,1024,1024,1024,1024,255.1,0,76,4.018,4.02,4.016,4.013,0,0,3.298,73.31,3453.2194668022,1.64042,11,AutoTakeoff,
3600,2021-03-21 09:47:13,40.1849963098087,33.3282405915263,1.64042,,,3453.2194668022,2.624672,0,1.75160110592,13,4,15.966,3453.2194668022,1.64042,0.223694,1.75160110592,0,0,-0.894776,255.8, 0.2, -0.4,0,0,1024,1024,1024,1024,255.1,0,76,4.018,4.02,4.016,4.013,0,0,3.298,73.31,3453.2194668022,1.64042,11,AutoTakeoff,
3700,2021-03-21 09:47:13,40.1849961416368,33.3282406249218,1.968504,,,3453.5475508022,2.624672,0,1.80812997912,13,4,15.69,3453.5475508022,1.968504,0.223694,1.80812997912,0,0,-0.894776,255.8, 0.4, -0.4,0,0,1024,1024,1024,1024,255.1,0,76,4.018,4.02,4.016,4.013,0,0,12.04,73.31,3453.5475508022,1.968504,11,AutoTakeoff,
3800,2021-03-21 09:47:13,40.1849960584323,33.3282405663022,1.968504,,,3453.5475508022,2.952756,0,1.84174218492,13,4,15.69,3453.5475508022,1.968504,0.223694,1.84174218492,0,0,-0.894776,255.9, 0.6, -0.1,0,0,1024,1024,1024,1024,255.1,0,76,4.018,4.02,4.016,4.013,0,0,12.04,73.31,3453.5475508022,1.968504,11,AutoTakeoff,
3900,2021-03-21 09:47:13,40.1849959434674,33.3282405199966,2.296588,,,3453.8756348022,2.952756,0,1.8856135774,13,4,15.69,3453.8756348022,2.296588,0.223694,1.8856135774,0,0,-0.894776,255.9, 0.8, -0.4,0,0,1024,1024,1024,1024,255.1,0,76,4.018,4.02,4.016,4.013,0,0,12.04,73.31,3453.8756348022,2.296588,11,AutoTakeoff,
4000,2021-03-21 09:47:14,40.1849958900186,33.3282404087035,2.296588,,,3453.8756348022,3.28084,0,1.91290032368,13,4,15.69,3453.8756348022,2.296588,0.223694,1.91290032368,0,0,-0.894776,255.8, 1.2, -0.7,0,0,1024,1024,1024,1024,255.1,0,76,4.018,4.02,4.016,4.013,0,0,12.04,73.31,3453.8756348022,2.296588,11,AutoTakeoff,
4100,2021-03-21 09:47:14,40.1849956580069,33.3282404282914,2.624672,,,3454.2037188022,3.28084,0,1.99280518188,14,4,15.69,3454.2037188022,2.624672,0.223694,1.99280518188,0,0,-1.11847,255.7, 1.3, -0.1,0,0,1024,1024,1024,1024,255.2,0,76,4.018,4.02,4.016,4.013,0,0,12.04,73.31,3454.2037188022,2.624672,11,AutoTakeoff,
4200,2021-03-21 09:47:14,40.1849953421425,33.3282405155841,2.952756,,,3454.5318028022,3.608924,0,2.09804468656,14,4,15.69,3454.5318028022,2.952756,0.223694,2.09804468656,0,0,-1.11847,255.5, 0.8, 0.2,0,0,1024,1024,1024,1024,255.1,0,76,4.018,4.02,4.016,4.013,0,0,12.04,73.31,3454.5318028022,2.952756,14,Waypoint,
4300,2021-03-21 09:47:14,40.1849951032253,33.328240600711,2.952756,,,3454.5318028022,3.608924,0,2.17730650012,14,4,15.69,3454.5318028022,2.952756,0.223694,2.17730650012,0,0,-0.894776,255.4, 0.8, 0.9,0,0,1024,1024,1024,1024,255.2,0,76,4.018,4.02,4.016,4.013,0,0,12.04,73.31,3454.5318028022,2.952756,14,Waypoint,
4400,2021-03-21 09:47:14,40.1849949723994,33.3282406747879,3.28084,,,3454.8598868022,3.937008,0,2.2194554516,14,4,15.69,3454.8598868022,3.28084,0.223694,2.2194554516,0,0,-1.11847,255.3, 1.1, 1,0,0,1024,1024,1024,1024,255.1,0,76,4.018,4.02,4.016,4.013,0,0,12.04,73.31,3454.8598868022,3.28084,14,Waypoint,
4500,2021-03-21 09:47:14,40.1849948456421,33.3282408348876,3.28084,,,3454.8598868022,4.265092,0,2.25597448164,12,4,15.69,3454.8598868022,3.28084,0.223694,2.25597448164,0,0,-1.11847,255.2, 1.3, 0.9,0,0,1024,1024,1024,1024,255.2,0,76,4.018,4.02,4.016,4.013,0,0,12.04,73.31,3454.8598868022,3.28084,14,Waypoint,
4600,2021-03-21 09:47:14,40.1849946230778,33.3282408421624,3.608924,,,3455.1879708022,4.265092,0,2.33544626896,12,4,15.69,3455.1879708022,3.608924,0.223694,2.33544626896,0,0,-1.11847,255.1, 0.5, 0.9,0,0,1024,1024,1024,1024,255.2,0,76,4.018,4.02,4.016,4.013,0,0,12.04,73.31,3455.1879708022,3.608924,14,Waypoint,
4700,2021-03-21 09:47:14,40.1849944188131,33.3282408898851,3.608924,,,3455.1879708022,4.593176,0,2.40653551008,14,4,15.649,3455.1879708022,3.608924,0.223694,2.40653551008,0,0,-1.11847,255.1, 0, 0.9,0,0,1024,1024,1024,1024,255.2,0,76,3.933,3.948,3.947,3.927,0,0,12.04,73.31,3455.1879708022,3.608924,14,Waypoint,
4800,2021-03-21 09:47:14,40.1849942165962,33.328240987289,3.937008,,,3455.5160548022,4.593176,0,2.4750164834,14,4,15.649,3455.5160548022,3.937008,0.223694,2.4750164834,0,0,-1.11847,255.2, 0.1, 0.8,0,0,1024,1024,1024,1024,255.1,0,76,3.933,3.948,3.947,3.927,0,0,12.04,73.31,3455.5160548022,3.937008,14,Waypoint,
4900,2021-03-21 09:47:14,40.1849939845625,33.3282410503077,3.937008,,,3455.5160548022,4.92126,0,2.55618774584,13,4,15.649,3455.5160548022,3.937008,0.223694,2.55618774584,0,0,-1.342164,255.4, 0.4, 0.9,0,0,1024,1024,1024,1024,255.2,0,76,3.933,3.948,3.947,3.927,0,0,12.04,73.31,3455.5160548022,3.937008,14,Waypoint,
5000,2021-03-21 09:47:15,40.1849938165583,33.3282410127401,4.265092,,,3455.8441388022,4.92126,0,2.61834654048,13,4,15.649,3455.8441388022,4.265092,0.223694,2.61834654048,0,0,-1.789552,255.4, 0.2, 1,0,0,1024,1024,1024,1024,255.2,0,76,3.933,3.948,3.947,3.927,0,0,12.04,73.31,3455.8441388022,4.265092,14,Waypoint,
5100,2021-03-21 09:47:15,40.1849936423148,33.3282409837079,4.593176,,,3456.1722228022,5.577428,0,2.68242462652,14,4,15.649,3456.1722228022,4.593176,0.223694,2.68242462652,0,0,-2.23694,255.2, 0.2, 2,0,0,1024,1024,1024,1024,255.2,0,76,3.933,3.948,3.947,3.927,0,0,12.04,73.31,3456.1722228022,4.593176,14,Waypoint,
5200,2021-03-21 09:47:15,40.1849934471442,33.3282409622179,4.92126,,,3456.5003068022,5.905512,0,2.75376977316,14,4,15.649,3456.5003068022,4.92126,0.223694,2.75376977316,0,0,-2.908022,255.2, 0.7, 3.8,0,0,1024,1024,1024,1024,255.2,0,76,3.933,3.948,3.947,3.927,0,0,12.04,73.31,3456.5003068022,4.92126,14,Waypoint,
5300,2021-03-21 09:47:15,40.1849933104803,33.3282406811367,5.577428,,,3457.1564748022,6.233596,0,2.81496072,14,4,15.649,3457.1564748022,5.577428,0.223694,2.81496072,0,0,-3.802798,255.2, 0.5, 3.6,0,0,1024,1024,1024,1024,255.2,0,76,3.933,3.948,3.947,3.927,0,0,12.04,73.31,3457.1564748022,5.577428,14,Waypoint,
5400,2021-03-21 09:47:15,40.1849931667978,33.328240672716,6.233596,,,3457.8126428022,6.889764,0,2.8670604592,14,4,15.649,3457.8126428022,6.233596,0.223694,2.8670604592,0,0,-4.47388,255.2, 0.1, 2.9,0,0,1024,1024,1024,1024,255.2,0,76,3.933,3.948,3.947,3.927,0,0,12.04,73.31,3457.8126428022,6.233596,14,Waypoint,
5500,2021-03-21 09:47:15,40.1849929831663,33.3282406388807,6.889764,,,3458.4688108022,7.545932,0,2.93470153748,13,4,15.649,3458.4688108022,6.889764,0.223694,2.93470153748,0,0,-5.144962,255, -0.6, 2.9,0,0,1024,1024,1024,1024,255.1,0,76,3.933,3.948,3.947,3.927,0,0,12.04,73.31,3458.4688108022,6.889764,14,Waypoint,
5600,2021-03-21 09:47:15,40.1849926873025,33.3282405467861,7.545932,,,3459.1249788022,8.530184,0,3.04538723656,13,4,15.649,3459.1249788022,7.545932,0.223694,3.04538723656,0,0,-6.039738,255, 0.1, 3.2,0,0,1024,1024,1024,1024,255.2,0,76,3.933,3.948,3.947,3.927,0,0,12.04,73.31,3459.1249788022,7.545932,14,Waypoint,
5700,2021-03-21 09:47:15,40.1849923699114,33.3282402936134,8.530184,,,3460.1092308022,9.514436,0,3.1716044322,13,4,15.611,3460.1092308022,8.530184,0.223694,3.1716044322,0,0,-6.487126,255, 1.5, 3.2,0,0,1024,1024,1024,1024,255.1,0,76,3.918,3.961,3.918,3.899,0,0,12.354,73.31,3460.1092308022,8.530184,14,Waypoint,
5800,2021-03-21 09:47:15,40.1849923003728,33.3282401714657,9.514436,,,3461.0934828022,10.498688,0.223694,3.20281834396,13,4,15.611,3461.0934828022,9.514436,0.223694,3.20281834396,0,-0.223694,-6.71082,255, 2, 2.7,0,0,1024,1024,1024,1024,255.2,0,76,3.918,3.961,3.918,3.899,0,0,12.354,73.31,3461.0934828022,9.514436,14,Waypoint,
5900,2021-03-21 09:47:15,40.1849922139838,33.3282400713207,10.498688,,,3462.0777348022,11.48294,0,3.23911099604,13,4,15.611,3462.0777348022,10.498688,0.223694,3.23911099604,0,0,-6.934514,255, 2, 2.9,0,0,1024,1024,1024,1024,255.2,0,76,3.918,3.961,3.918,3.899,0,0,12.354,73.31,3462.0777348022,10.498688,14,Waypoint,
6000,2021-03-21 09:47:16,40.1849920727432,33.3282399903339,11.48294,,,3463.0619868022,12.467192,0.31540854,3.2940945936,13,4,15.611,3463.0619868022,11.48294,0.31540854,3.2940945936,0.223694,-0.223694,-7.158208,255.1, 2.2, 3.2,0,0,1024,1024,1024,1024,255.2,0,76,3.918,3.961,3.918,3.899,0,0,12.354,73.31,3463.0619868022,11.48294,14,Waypoint,
6100,2021-03-21 09:47:16,40.184991918352,33.328239931962,12.795276,,,3464.3743228022,13.451444,0.223694,3.352526354,14,4,15.611,3464.3743228022,12.795276,0.31540854,3.352526354,0.223694,0,-7.158208,255.1, 2.5, 3.3,0,0,1024,1024,1024,1024,255.1,0,76,3.918,3.961,3.918,3.899,0,0,12.354,73.31,3464.3743228022,12.795276,14,Waypoint,
6200,2021-03-21 09:47:16,40.1849916772275,33.3282398700947,13.779528,,,3465.3585748022,14.76378,0.31540854,3.4421589028,14,4,15.611,3465.3585748022,13.779528,0.31540854,3.4421589028,0.223694,-0.223694,-7.158208,255.2, 2.6, 3.2,0,0,1024,1024,1024,1024,255.2,0,76,3.918,3.961,3.918,3.899,0,0,12.354,73.31,3465.3585748022,13.779528,14,Waypoint,
6300,2021-03-21 09:47:16,40.1849915159399,33.3282398490764,15.091864,,,3466.6709108022,15.748032,0.223694,3.5010171724,13,4,15.611,3466.6709108022,15.091864,0.31540854,3.5010171724,0.223694,0,-7.158208,255.2, 2.6, 3,0,0,1024,1024,1024,1024,255.2,0,76,3.918,3.961,3.918,3.899,0,0,12.354,73.31,3466.6709108022,15.091864,14,Waypoint,
6400,2021-03-21 09:47:16,40.1849913645223,33.3282398544982,16.076116,,,3467.6551628022,16.732284,0.223694,3.5548557568,13,4,15.611,3467.6551628022,16.076116,0.31540854,3.5548557568,0.223694,0,-7.158208,255.2, 2.2, 2.8,0,0,1024,1024,1024,1024,255.1,0,76,3.918,3.961,3.918,3.899,0,0,12.354,73.31,3467.6551628022,16.076116,14,Waypoint,
6500,2021-03-21 09:47:16,40.1849912357376,33.3282399464728,17.060368,,,3468.6394148022,17.716536,0.223694,3.596128724,12,4,15.611,3468.6394148022,17.060368,0.31540854,3.596128724,0.223694,0,-6.934514,255.2, 1.9, 2.7,0,0,1024,1024,1024,1024,255.2,0,76,3.918,3.961,3.918,3.899,0,0,12.354,73.31,3468.6394148022,17.060368,14,Waypoint,
6600,2021-03-21 09:47:16,40.1849911148338,33.3282405774653,18.04462,,,3469.6236668022,18.700788,0.223694,3.61138463,12,4,15.611,3469.6236668022,18.04462,0.31540854,3.61138463,0.223694,0,-6.934514,255.2, 1.5, 3.2,0,0,1024,1024,1024,1024,255.2,0,76,3.918,3.961,3.918,3.899,0,0,12.354,73.31,3469.6236668022,18.04462,14,Waypoint,
6700,2021-03-21 09:47:16,40.1849910049553,33.3282408300808,19.356956,,,3470.9360028022,20.013124,0.223694,3.6422901428,14,4,15.44,3470.9360028022,19.356956,0.31540854,3.6422901428,0.223694,0,-6.934514,255.2, 1.1, 3.7,0,0,1024,1024,1024,1024,255.1,0,76,3.859,3.879,3.879,3.848,0,0,18.12,73.31,3470.9360028022,19.356956,14,Waypoint,
6800,2021-03-21 09:47:16,40.1849908937595,33.3282410903913,20.341208,,,3471.9202548022,20.997376,0,3.6750001176,14,4,15.44,3471.9202548022,20.341208,0.31540854,3.6750001176,0,0,-6.934514,255.2, 0.9, 3.7,0,0,1024,1024,1024,1024,255.2,0,76,3.859,3.879,3.879,3.848,0,0,18.12,73.31,3471.9202548022,20.341208,14,Waypoint,
6900,2021-03-21 09:47:16,40.1849907471482,33.328241300931,21.32546,,,3472.9045068022,21.981628,0,3.7232284656,13,4,15.44,3472.9045068022,21.32546,0.31540854,3.7232284656,0,0,-6.71082,255.1, 0.6, 4.2,0,0,1024,1024,1024,1024,255.2,0,76,3.859,3.879,3.879,3.848,0,0,18.12,73.31,3472.9045068022,21.32546,14,Waypoint,
